"","location","date","total_cases","total_deaths","population","death_percentage","percent_pop_infected"
"36","Cambodia","2/22/2023",138713,3056,16767851,2.20311001852746,0.827255681124552
"37","Cameroon","2/20/2023",124328,1965,27914542,1.58049675053085,0.445387927195796
"38","Canada","2/23/2023",4599334,51358,38454328,1.11663993091174,11.9605106608546
"39","Cape Verde","2/22/2023",63240,413,593162,0.653067678684377,10.6615056257818
"40","Cayman Islands","12/21/2022",31472,37,68722,0.117564819522115,45.7961060504642
"41","Central African Republic","1/31/2023",15368,113,5579148,0.735294117647059,0.275454244985077
"42","Chad","2/20/2023",7675,194,17723312,2.52768729641694,0.0433045471410761
"43","Chile","2/23/2023",5156519,64128,19603736,1.24362966567174,26.3037565900704
"44","China","1/9/2023",2023904,5273,1425887360,0.260536072857211,0.141939963616761
"45","Colombia","2/15/2023",6356468,142296,51874028,2.23860168886243,12.2536618903009
"46","Comoros","2/22/2023",8998,161,836783,1.78928650811291,1.07530865230293
"47","Congo","11/17/2022",25375,386,5970430,1.52118226600985,0.425011263845318
"48","Cook Islands","2/6/2023",7020,2,17032,0.0284900284900285,41.2165335838422
"49","Costa Rica","2/22/2023",1199055,9214,5180836,0.768438478635259,23.1440447062984
"50","Cote d'Ivoire","2/22/2023",88138,834,28160548,0.94624339104586,0.312983966079069
"51","Croatia","2/21/2023",1268666,17950,4030361,1.41487199940725,31.4777261887955
"52","Cuba","2/23/2023",1112567,8530,11212198,0.766695399018666,9.92282690690978
"53","Curacao","11/30/2022",45986,295,191173,0.641499586830775,24.0546520690683
"54","Cyprus","2/17/2023",647031,1297,896007,0.20045407407064,72.2127170881478
"55","Czechia","2/23/2023",4605644,42404,10493990,0.920696432464168,43.8883970729913
"56","Democratic Republic of Congo","2/13/2023",95646,1464,99010216,1.53064425067436,0.0966021526505911
"57","Denmark","2/23/2023",3402848,8240,5882259,0.242150104853346,57.8493398539575
"58","Djibouti","6/13/2022",15690,189,1120851,1.20458891013384,1.39982923689233
"59","Dominica","10/6/2022",15760,74,72758,0.469543147208122,21.6608482915968
"60","Dominican Republic","2/22/2023",660533,4384,11228821,0.663706431018587,5.88247866806319
"61","Ecuador","2/14/2023",1056578,36008,18001002,3.40798313044565,5.86955103943658
"62","Egypt","2/13/2023",515698,24809,110990096,4.81076133706161,0.464634249888386
"63","El Salvador","8/30/2022",201785,4223,6336393,2.09282156750997,3.18454047910223
"64","Equatorial Guinea","2/22/2023",17229,183,1674916,1.06216263277033,1.02864860088506
"65","Eritrea","10/31/2022",10189,103,3684041,1.01089410148199,0.276571297659282
"66","Estonia","2/22/2023",614852,2934,1326064,0.477188006219383,46.3666912004247
"67","Eswatini","2/19/2023",74199,1423,1201680,1.91781560398388,6.17460555222688
"68","Ethiopia","2/22/2023",499903,7572,123379928,1.51469385060702,0.405173684328945
"69","Europe","2/23/2023",247703013,2031477,744807803,0.820126075737319,33.2573063818989
"70","European Union","2/23/2023",183700950,1212701,450146793,0.660149552846624,40.8091211259612
"71","Faeroe Islands","3/2/2022",34658,28,53117,0.0807894281262623,65.2484138787959
"72","Fiji","2/16/2023",68876,883,929769,1.28201405424241,7.40786152259325
"73","Finland","2/23/2023",1462169,8892,5540745,0.608137636620664,26.3893934840892
"74","France","2/23/2023",39645138,164917,67813000,0.415982913213721,58.4624452538599
"75","French Polynesia","1/3/2023",77957,649,306292,0.832510229998589,25.4518563984694
"76","Gabon","1/30/2023",48981,306,2388997,0.62473203895388,2.05027465501212
"77","Gambia","11/22/2022",12586,372,2705995,2.95566502463054,0.465115419651552
"78","Georgia","2/22/2023",1825598,16965,3744385,0.929284541284555,48.7556167434706
"79","Germany","2/23/2023",38090089,167723,83369840,0.440332391977346,45.6880917607614
"80","Ghana","2/22/2023",171167,1462,33475870,0.854136603434073,0.51131456777673
"81","Gibraltar","2/21/2023",20420,111,32677,0.5435847208619,62.4904366985953
"82","Greece","12/20/2022",5548487,34779,10384972,0.626819527557693,53.428040056343
"83","Greenland","3/25/2022",11971,21,56494,0.175423941191212,21.1898608701809
